Expt.,SLN
-2.43,C[1](C[2]N(C(=CHN=@2)C(=O)NH2)CH2CH2C[19]=C@1CH=CHCH=CH@19)CH2CH2NHCH2CH2@1
-4.396,C[1](=C[2]C(=C(C[5]=C@1CH=CHCH=CH@5)CH3)CH=CHCH=CH@2)CH2N[30]CH2CH2OCH2CH2@30
-1.275,C[1]C[2]HC[4]HC[6]HCH2CH@1N[+1](CH2CH2@1)(CH2C@6=CHCH2OCH@4CH2C(N@2C[37]=C@1CH=CHCH=CH@37)=O)O[-1]
-5.593,C[1]N(C[3]=C(SC=@1CH=CHCH=CH@1)CH=CHCH=CH@3)CH3
-1.738,C[1](C(NHCH2C(OH)=O)=O)=CHCH=CHCH=CH@1
-3.065,C[1](C[2]=CHCH=CHCH=CH@2)=NC[14]HC(=N@1)CH=NCH=N@14
-4.819,C[1](C[2]OC(=CHCH=@2)N[+1](O[-1])=O)=NC[13]=C(NH@1)CH=CHC(=CH@13)Cl
-4.966,C[1](=C(SC(=N@1)C[6]=CHCH=CHCH=CH@6)CH2C(OH)=O)C[24]=CHCH=C(CH=CH@24)Cl
-4.244,S(C[2]C(=NON[+1]=@2O[-1])OCH2CH3)(C[16]=CHCH=CHCH=CH@16)(=O)=O
-1.959,C[1](C(OCH2CH3)=O)=CHCH=C(CH=CH@1)OH
-2.706,C[1](C(OCH2CH2CH3)=O)=CHCH=C(CH=CH@1)OH
-2.511,C[1]H(C[3]=CHCH=CHCH=CH@3)CH2C(CH2C(CH2@1)=O)=O
-2.987,C[1](C(OCH2CH2CH2CH3)=O)=CHCH=C(CH=CH@1)OH
-3.553,C[1](C(OCH3)=O)=CHCH=C(CH=CH@1)C(OCH3)=O
-3.509,S(C[2]=CHCH=C(CH=CH@2)CH3)(N(Cl)Cl)(=O)=O
-3.23,C[1](=C(C(=CHC(=CH@1)Cl)Cl)OCH2C(OH)=O)Cl
-2.312,C[1]=C(CH(OC@1=O)CH2CH3)CH=CHC(=CH@1)C#N
-2.676,C[1](=NC(=NC(=N@1)SCH3)NHCH2CH3)NHCH2CH3
-0.815,P[1](N(CH2CH2Cl)CH2CH2Cl)(OCH2CH2CH2NH@1)=O
-1.367,C[1]=C(N=C(CH2C(=N@1)CH3)CH3)CH=CHCH=CH@1
-2.654,C[1]S(CH=CHC=@1CH=C(CH=CH@1)CH3)(=O)=O
-3.056,C[1](C(OCH2CH2CH2CH3)=O)=CHCH=C(CH=CH@1)NH2
-3.886,C[1]C[2]=C[3]C(=CHC=@1CH2CH2CH2N@1CH2CH2CH2@2)C(=CHC(O@3)=O)CH3
-3.433,N[1]C[2]=C(C(=NCH2C@1=NN=C@1CH3)C[17]=CHCH=CHCH=CH@17)CH=C(CH=CH@2)Cl
-2.369,N[1](C(SCH2CH3)=O)CH2CH2CH2CH2CH2CH2@1
-2.665,S[1](C[2]=C(C(=CH@1)CH3)CH=CHCH=CH@2)(=O)=O
-2.222,C[1](SCH(CH2S@1)CH2OC(=O)NH2)(CH3)CH3
-2.621,C[1](=C(CH=C(NH@1)CH3)CH3)C(OCH2CH3)=O
-1.886,C[1](OCH(CH2O@1)CH2OC(=O)NH2)CH2CH2CH2CH2CH2@1
-3.522,C[1](SCH(CH2S@1)CH2OC(=O)NH2)CH2CH2CH2CH2CH2@1
-3.012,N[1](C[2]=C(CH=CHC[8]=C@1CH=CHCH=CH@8)CH=CHCH=CH@2)C(=O)NH2
-5.227,C[1]=C(CH=C[5]C(=CH@1)CH=C(O@5)CH3)OC(CH=C@1CH3)=O
-3.319,C[1]C(CH=C(C(=N@1)CH3)CH3)=CHCH=CHC=@1OH
-1.088,C[1]C(CH=CHC(=N@1)C(OH)=O)=CHCH=CHCH=@1
-0.043,C[1]C(=CHCH=C(CH=@1)C(OH)=O)N=CHCH=CH@1
-3.73,C[1]C[2]=C(NHC=@1CH=NCH=CH@1)CH=CHCH=CH@2
-3.278,S(C[2]=CHCH=CHCH=CH@2)(N(Br)Br)(=O)=O
-2.824,C[1](OCH(CH2S@1)CH2OC(=O)NH2)CH2CH2CH2CH2CH2@1
-1.742,C[1]=C(C(OH)=O)CH=CHCH=C@1CH=CHCH=N@1
-2.675,C[1]=C(C(OH)=O)CH=CHCH=C@1N=CHCH=CH@1
-4.904,C[1](CH(C[4]=CHCH=CHCH=CH@4)CH2C(=O)CH3)=C(C[25]=C(OC@1=O)CH=CHCH=CH@25)OH
-3.114,C[1](CH2OCH(OCH2@1)CH(CH3)CH3)CH2OCH(OCH2@1)CH(CH3)CH3
-2.677,C[1](=CHC(OCH3)=CHC(=CH@1)OCH3)OCH3
-1.837,C[1](C(OCH2CH2CH2CH3)=O)=CHN=CHCH=CH@1
-1.552,C[1]C(N=CHC(=N@1)SCH3)=CHN=CHN=@1
-1.756,C[1]C(=CHN=C(N=@1)SCH3)N=CHCH=N@1
-1.144,C[1]C(N=C(C(=N@1)CH3)CH3)=CHN=C(N=@1)CH3
-0.599,N[1](C(CH=CHCH=CH@1)=O)CH2CH2C(OH)=O
-3.102,C[1](C(C(CH2OH)=O)(CH2CH2CH@1C[18]HCH(CH(CH2@1)OH)C[29](C(CH2CH2@18)=CHC(CH=CH@29)=O)CH3)OH)CH3
-3.243,C[1](C(C(CH2OH)=O)(CH2CH2CH@1C[18]HCH(CH(CH2@1)OH)C[29](C(CH2CH2@18)=CHC(CH2CH2@29)=O)CH3)OH)CH3
-3.11,C[1](C(C(CH2OH)=O)(CH2CH2CH@1C[18]HCH(C(CH2@1)=O)C[27](C(CH2CH2@18)=CHC(CH2CH2@27)=O)CH3)OH)CH3
-0.962,P[1](N(CH2CH2Cl)CH2CH2Cl)(OCH2CH2CH2CH2NH@1)=O
-0.849,C[1](C[2]=CHCH=CHCH=CH@2)=NC(C(NH@1)=O)(CH3)CH3
-3.064,C[1](=C(CH=C[5]C(=CH@1)OCH2O@5)CH2OH)N[+1](O[-1])=O
-3.682,C[1](=C(C(OCH3)=O)CH=CHCH=CH@1)C(C[19]=CHCH=CHCH=CH@19)=O
