#Expt.,SLN
-3.96,C[1]H=CHC[5]=CHCH=CHC[12]CH=CHCH=C@1C@5=@12
1.58,C(CH3)(=O)NH2
0.26,C(CH3)#N
-1.28,C(CH3)(=O)C[7]CH=CHCH=CHCH=@7
0.97,CH(=O)CH=CH2
0.57,CH(CH=CH2)=O
0.98,C(CH=CH2)(=O)NH2
0.15,C(CH=CH2)#N
-1.89,C(CH3)(=O)OCH2CH2CH2CH2CH3
-4.15,C[1](CH=CHCH=CHCH=@1)C(CH2CH3)(CH3)CH3
-3.76,C[1](C(CH2C[6:s=N](CH(CH2@1)CH2CH2C[18:s=N]HC[20:s=I]HCH2CH2CH2C[s=I]@20(CH3)CH2CH2C[s=I]H@18@6)CH3)=O)=O
-1.85,CH3OC[6]CH=CHCH=CHCH=@6
-6.39,C[1]HCH=CHCH=C[9]CH=C[12]CH=CHCH=CHC@12=CHC=@1@9
-5.19,C[1]HCH=CHCH=C[9]C(=O)C[12]CH=CHCH=CHC=@12C(=O)C=@1@9
-1.19,CH(C[3]CH=CHCH=CHCH=@3)=O
-0.96,C(C[2]CH=CHCH=CHCH=@2)(=O)NH2
-1.64,C[1]HCH=CHCH=CHCH=@1
-6.68,C[1]H2C[4]C[5]C(CH=CHC=@4C[12]CH=CHCH=CHC@1=@12)=CHCH=CHCH=@5
-7.82,C[1]C(CH=C[5]CH=CHC[10]=CHCH=CHC[17]=CHCH=C@1C@5=C@10@17)=CHCH=CHCH=@1
-8.19,C[1]=C(CH=C[5]CH=CHC[10]=CHCH=CHC[17]=CHCH=C@1C@5=C@10@17)CH=CHCH=CH@1
-8.04,C[1]H2C[4]CH=C[7]C(=CHC=@4C[12]CH=CHCH=CHC@1=@12)CH=CHCH=CH@7
-1,C(C[2]CH=CHCH=CHCH=@2)#N
-3.12,C(C[2]CH=CHCH=CHCH=@2)(=O)C[14]CH=CHCH=CHCH=@14
-5.64,C(C[2]C(C(=O)OCH2C[10]CH=CHCH=CHCH=@10)=CHCH=CHCH=@2)(=O)OCH2CH2CH2CH3
-3.77,CH3C[5:s=N]C[s=I](C(CH2OC(CH2CH3)=O)=O)(OC(CH2CH3)=O)C[s=N]H(CH3)CH2C[s=I]H@5C[43:s=I]HCH2CH2C[51]=CHC(CH=CHC[s=N]@51(CH3)C@43(F)C[s=N]H(OH)CH2@5)=O
-4.62,CH2(C[4]CH=CHCH=CHCH=@4)CH2C[18]CH=CHCH=CHCH=@18
-4.31,C[1](CH=CHCH=CHCH=@1)C[12]CH=CHCH=CHCH=@12
-2.43,CH2(CH(CH3)CH3)Br
-1.85,CH2(CH2CH2Cl)Br
-2.89,CH2(CH2CH(CH3)CH3)Br
-2.18,CH(C[3]CH=C(C(=CHCH=@3)OH)Br)=O
-2.55,C[1](CH=CHCH=CHCH=@1)Br
-2.37,CH2(CH2CH2CH3)Br
-3.19,C[1](C(=CHCH=CHCH=@1)Br)Cl
-3.21,C[1](CH=C(CH=CHCH=@1)Br)Cl
-0.89,CH2(Cl)Br
-1.54,CH(Cl)(Cl)Br
-1.09,CH3CH2Br
-1.73,CH2(CH2CH3)Br
-1.59,CH3CH(CH3)Br
-3.52,C[1](CH=C(CH=CHCH=@1)Br)CH3
-2.95,CH3CH2CH2CH3
0,CH2(CH2CH2CH3)OH
0.43,CH3CH(CH2CH3)OH
-0.42,CH2(CH2OCH2CH2CH2CH3)OH
-1.24,C(CH3)(=O)OCH2CH2CH2CH3
-4.06,C[1](CH=CHCH=CHCH=@1)CH2CH2CH2CH3
-3.66,C[1](CH=CHCH=CHCH=@1)C(CH3)(CH3)CH3
-3.89,C[1](CH=CHCH=CHCH=@1)CH(CH3)CH2CH3
-0.01,CH(CH2CH2CH3)=O
-1.88,CH3C[5]C(=O)CH2CH(CH2CH2@5)C@5(CH3)CH3
-1.3,CH(CH2CH2CH2CH2CH3)=O
-2.36,CH(CH2CH2CH2CH2CH2CH2CH3)=O
-2.29,C(Cl)(Cl)(Cl)Cl
-1.32,CH2(CH2Br)Cl
-2.51,CH3C(CH2CH3)(CH3)Cl
-2,CH2(CH(CH3)CH3)Cl
-2.92,C[1](CH=CHC(=CHCH=@1)N[+1](=O)O[-1])Cl
-2.46,CH3OC[6]C(=CHCH=CHCH=@6)Cl
-2.78,CH3OC[6]CH=C(CH=CHCH=@6)Cl
-2.78,CH3OC[6]CH=CHC(=CHCH=@6)Cl
-2.41,C[1](CH=CHCH=CHCH=@1)Cl
-4.54,C[1](C(=CHCH=CHCH=@1)Cl)C[12]CH=CHCH=CHCH=@12
-4.88,C[1](CH=C(CH=CHCH=@1)Cl)C[12]CH=CHCH=CHCH=@12
-5.2,C[1](CH=CHC(=CHCH=@1)Cl)C[12]CH=CHCH=CHCH=@12
-2.03,CH2(CH2CH2CH3)Cl
-1.96,CH3CH(CH2CH3)Cl
-5.87,C[1]C(OC[4]C(O@1)=CHCH=CHCH=@4)=CHC(=CHCH=@1)Cl
-1.9,CH(Br)(Br)Cl
-4.78,O(C[2]C(=CHCH=CHCH=@2)Cl)C[13]CH=CHCH=CHCH=@13
-3.12,CH2(CH2CH2CH2CH2CH3)Cl
-2.73,CH2(CH2CH2CH2CH3)Cl
-2.63,CH3CH(CH2CH2CH3)Cl
-2.63,CH3CH2CH(CH2CH3)Cl
-1.47,CH2(CH2CH3)Cl
-1.41,CH3CH(CH3)Cl
-1.36,CH2=CHCH2Cl
-3.52,C[1](CH=C(CH=CHCH=@1)Cl)CH3
-3.52,C[1](C(=CHCH=CHCH=@1)Cl)CH3
-3.08,C[1](CH=CHC(=CHCH=@1)Cl)CH3
-7,C[1]H(CH2CH2C[9:s=N](C(CH2@1)=CHCH2C[19:s=N]HC[21:s=I]HCH2CH2C[s=I]H(C[s=N]H(CH2CH2CH2CH(CH3)CH3)CH3)C[s=I]@21(CH3)CH2CH2C[s=I]H@19@9)CH3)OH
-8.06,C[1]HCH=CHCH=C[9]C[10]=CHCH=C[15]CH=CHCH=CHC@15=C@10CH=CHC=@1@9
