Expt.,SLN
-3.3707,FC[2:s=N]CH(C[5:s=N]HC[s=N](C[s=I](OH)(C[s=I]H(OH)CH2@5)C(=O)CH2OH)(CH2C[s=I]H@2OH)CH3)CH2CH2C[42]C[s=N]@2(CH3)CH=CHC(=O)CH=@42
-3.8032,OHC[3]=CHC[6]C[7:s=N](C[s=I]H(CH(N(CH2CH2@7)CH2CH=C(CH3)CH3)CH2C=@6CH=CH@3)CH3)CH3
-5.507,OHC[3:s=I](C[4:s=I](CH(C[7:s=N]HC[s=N]H(C[11:s=I](C(CH2CH2@7)=CHC[21]ON=CHC=@21CH2@11)CH3)CH2CH2@4)CH2CH2@3)CH3)C#CH
-3.0461,OHC[3:s=N](C[4:s=I](CH(C[7:s=N]HC[s=N]H(C[11:s=I](C(CH2CH2@7)=CHC(=O)CH2CH2@11)CH3)C[s=N]H(OH)CH2@4)CH2CH2@3)CH3)C(=O)CH2OH
-3.7945,FC[2]CH(C[5]HC(C(OH)(CH(CH2@5)CH3)C(=O)CH2OH)(CH2CH@2OH)CH3)CH2CH2C[44]C@2(CH3)CH=CHC(=O)CH=@44
-4.0718,ClC[2]C[3]OC[5:s=N](C[s=N]H(CH2C(=O)CH=C@5OCH3)CH3)C(=O)C=@3C(OCH3)=CHC=@2OCH3
-3.6402,ClC[2]=CHC[5]=C(N(C(=O)CH2N=C@5C[15]=CHCH=CHCH=CH@15)CH3)CH=CH@2
-4.9073,FC[2:s=N]CH(C[5]HC[s=N](C[s=I](OC(=O)CH2CH2CH2CH3)(C[s=I]H(CH2@5)CH3)C(=O)CH2OH)(CH2C[s=I]H@2OH)CH3)CH2CH2C[58]C[s=N]@2(CH3)CH=CHC(=O)CH=@58
-1.6405,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NH2)=O)=O
-1.2675,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHC(CH2OH)(CH2OH)CH2OH)=O)=O
-1.372,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH3)CH3)=O)=O
-2.5625,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2CH=CH2)CH2CH=CH2)=O)=O
-1.7178,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH3)=O)=O
-0.9184,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2C(NH2)=O)CH3)=O)=O
-1.0897,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2CH2OH)CH3)=O)=O
-1.5732,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2CH2OCH3)CH2CH2OCH3)=O)=O
-2.254,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2C(OH)=O)CH3)=O)=O
-1.6679,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2C(OCH2CH3)=O)CH3)=O)=O
-2.2373,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH2CH3)=O)=O
-1.6085,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2@18)=O)=O
-1.5685,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2CH2@18)=O)=O
-2.5011,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2CH2CH2@18)=O)=O
-1.7734,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2OCH2CH2@18)=O)=O
-2.7239,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2CH2CH@18CH2CH3)=O)=O
-3.2638,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH(CH2CH2CH2CH@18CH3)CH3)=O)=O
-1.3486,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH(CH2CH2@18)OH)=O)=O
-2.5387,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH2CH2CH3)=O)=O
-2.1416,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH@18C(OH)=O)=O)=O
-2.0841,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2CH@18C(OCH3)=O)=O)=O
-2.2653,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2CH@18C(NH2)=O)=O)=O
-2.7321,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH(CH3)CH3)=O)=O
-2.2828,C[1]H=CHCH=CHC(=CH@1)C(OCH(C(N(CH2CH3)CH2CH3)=O)CH3)=O
-2.4003,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHC(CH3)=O)=O)=O
-2.8664,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(C(CH3)=O)CH3)=O)=O
-2.7588,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH2CH2CH2CH3)=O)=O
-2.8664,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHC(CH3)(CH3)CH3)=O)=O
-1.4983,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH2C(NH2)=O)=O)=O
-4.4685,O=C[2]N(C(=O)NHC@2(C[9]=CHCH=CHCH=CH@9)C[20]=CHCH=CHCH=CH@20)CH2OH
-4.9066,O=C[2]N(C(=O)NHC@2(C[9]=CHCH=CHCH=CH@9)C[20]=CHCH=CHCH=CH@20)CH2OC(=O)CH3
-5.0706,O=C[2]N(C(=O)NHC@2(C[9]=CHCH=CHCH=CH@9)C[20]=CHCH=CHCH=CH@20)CH2OC(=O)CH2CH3
-4.6778,O=C[2]N(C(=O)NHC@2(C[9]=CHCH=CHCH=CH@9)C[20]=CHCH=CHCH=CH@20)CH2OC(=O)CH2CH2CH3
-5.8861,O=C[2]N(C(=O)NHC@2(C[9]=CHCH=CHCH=CH@9)C[20]=CHCH=CHCH=CH@20)CH2OC(=O)CH2CH2CH2CH3
-0.3098,C(C[s=N]H(NH2)CH(CH3)CH3)(=O)OH
-1.7612,C(C[s=N]H(NHC(C[s=N]H(NH2)CH2C[15]=CHNHC[20]=CHCH=CHCH=C@15@20)=O)CH2CH(CH3)CH3)(=O)OH
-0.7326,C(C[s=N]H(NHC(CH2NH2)=O)CH2C[17]=CHCH=C(OH)CH=CH@17)(=O)OH
-1.0983,C(CH2NHC(C[s=N]H(NH2)CH2C[16]=CHCH=C(OH)CH=CH@16)=O)(=O)OH
-2.0709,C(C[s=N]H(NHC(C[s=N]H(NH2)CH2C[15]=CHCH=C(OH)CH=CH@15)=O)CH2CH(CH3)CH3)(=O)OH
-1.4703,C(CH2NHC(CH2NHC(C[s=N]H(NH2)CH2C[22]=CHCH=C(OH)CH=CH@22)=O)=O)(=O)OH
-1.5768,C(C[s=N]H(NHC(C[s=N]H(NH2)CH2CH(CH3)CH3)=O)CH2C[29]=CHCH=C(OH)CH=CH@29)(=O)OH
-0.4056,C(C[s=N]H(NHC(C[s=N]H(NH2)CH(CH3)CH3)=O)CH(CH3)CH3)(=O)OH
-0.1748,C(C[s=N]H(NHC(C[s=N]H(NH2)CH2CH(CH3)CH3)=O)CH(CH3)CH3)(=O)OH
-0.4333,C(C[s=N]H(NHC(CH2NH2)=O)CH2CH(CH3)CH3)(=O)OH
-0.1132,C(C[s=N]H(NHC(CH2NHC(CH2NH2)=O)=O)CH2CH(CH3)CH3)(=O)OH
0.3076,C(CH2NHC(CH2NHC(C[s=N]H(NH2)CH2CH(CH3)CH3)=O)=O)(=O)OH
-1.8856,C(C[s=N]H(NHC(CH2NH2)=O)CH2C[17]=CHNHC[22]=CHCH=CHCH=C@17@22)(=O)OH
-0.8466,C(CH2NHC(C[s=N]H(NH2)CH2C[16]=CHNHC[21]=CHCH=CHCH=C@16@21)=O)(=O)OH
-1.1178,C(C[s=N]H(NHC(C[s=N]H(NH2)CH2CH(CH3)CH3)=O)CH2C[29]=CHNHC[34]=CHCH=CHCH=C@29@34)(=O)OH
-1.2219,S[1](=O)(=O)C[s=I]H(CH2C[s=I]H(NHCH2CH3)C[20]=C@1SC(S(=O)(=O)NH2)=CH@20)CH3
-1.2219,NH2CH(C(OH)=O)CH2C(OH)=O
-1.2924,NH2CH(C(OH)=O)CH2C(NH2)=O
-2.4949,S(=O)(=O)(NH2)C[7]SC(NHC(=O)CH3)=NN=@7
-1.9208,S(=O)(=O)(NH2)C[7]SC(N(N=@7)CH3)=[S=I]NC(=O)CH3
-4.3979,S(=O)(=O)(NH2)C[7]SC[9]=C(N=@7)CH=CHC(OCH2CH3)=CH@9
-2.9208,S(=O)(=O)(NHC[6]SC(S(=O)(=O)NH2)=NN=@6)C[17]=CHCH=CHCH=CH@17
-1.2676,C(C[s=N]H(NH2)C[7]CH=CHCH=CHCH=@7)(=O)OH
-1.1367,C(C[s=N]H(NH2)CH2OH)(=O)OH
-1.3188,C(C[s=N]H(NH2)CH(OH)C[11]CH=CHCH=CHCH=@11)(=O)OH
-1.1871,NH2CH(C(OH)=O)CH2SH
-1.4949,OHC(C[4]=C(CH=C(OH)CH=CH@4)CH3)=O
-1.9586,OHC(C[4]=C(CH=C(OH)CH=CH@4)CH2CH3)=O
-2.3979,OHC(C[4]=C(CH=C(OH)CH=CH@4)CH2CH2CH3)=O
-2.8239,OHC(C[4]=C(CH=C(OH)CH=CH@4)CH2CH2CH2CH3)=O
-2.5918,OHC[3:s=I]HC[5:s=N](C[s=I]H(C[8:s=N]HC[s=N]H(C[12:s=I](CH(CH2C[s=I]H@8OH)CH2C[s=I]H(OH)CH2CH2@12)CH3)CH2@3)CH2CH2CH@5C[s=N]H(CH2CH2C(OH)=O)CH3)CH3
-4.3468,OHC[3:s=I]HC[5:s=N]HC[7:s=N]HC[s=N](CH(CH2CH2@7)C[s=N]H(CH2CH2C(OH)=O)CH3)(CH2CH2CH@5C[42:s=I](CH(CH@3OH)CH2C[s=I]H(OH)CH2CH2@42)CH3)CH3
-4.8239,OHC[3]HC[5]HC(C[8]HCH(C[12]HC(CH(CH2CH2@12)CH(CH2CH2C(OH)=O)CH3)(CH2CH2@8)CH3)CH2@3)(CH2CH2CH(OH)CH2@5)CH3
-4.5686,OHC[3:s=N]HC[5:s=N]HC[7:s=N]HC[s=N](CH(CH2CH2@7)C[s=N]H(CH2CH2C(OH)=O)CH3)(CH2CH2CH@5C[42:s=I](CH(CH2@3)CH2C[s=I]H(OH)CH2CH2@42)CH3)CH3
-4.5528,OHC[3:s=I]HC[5:s=N](CH(C[8:s=N]HC[s=N]H(C[12:s=I](CH(CH2CH2@8)CH2C[s=I]H(OH)CH2CH2@12)CH3)CH2@3)CH2CH2CH@5C[s=N]H(CH2CH2C(OH)=O)CH3)CH3
0.58,OHC[s=N]H(CH2NHCH3)C[14]=CHC(OH)=CHCH=CH@14
0.38,O(CH2CH(OH)CH2NHCH(CH3)CH3)C[24]C(OCH2CH=CH2)=CHCH=CHCH=@24
0.14,OHCH(CH2NHCH(CH3)CH3)C[20]=CHC(OH)=C(OH)CH=CH@20
0.04,O(CH2CH(OH)CH2NHCH(CH3)CH3)C[24]=CHCH=C(CH=CH@24)CH2C(=O)NH2
-0.48,O(CH2CH(OH)CH2NHCH(CH3)CH3)C[24]C[25]C(CH=CHCH=@24)=CHCH=CHCH=@25
-1.3,OHCH(CH2NHCH(CH2CH2C[18]=CHCH=CHCH=CH@18)CH3)C[33]=CHC(=C(OH)CH=CH@33)C(=O)NH2
-1.1778,O=C(N[3]C[s=N]H(CH2CH2CH2@3)C(OH)=O)C[s=N]H(NHC[s=I]H(CH2CH2C[31]=CHCH=CHCH=CH@31)C(OCH2CH3)=O)CH3
-1.237,C[1]H=CHCH=C(CH=CH@1)CH2CH2C[s=N]H(NHC[s=I]H(CH2N[27]CH2CH2CH2CH@27C(=O)OH)CH3)C(OCH2CH3)=O
-4.4733,C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)OCH3
